,tweet,created_at
43,Horror in 2018 seemed to get more thoughtful consideration than it has in years past. https://www.buzzfeednews.com/article/louispeitzman/best-horror-films-2018?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546234320000
44,A lion has been shot dead at a North Carolina zoo after it killed a 22-year-old intern who was cleaning its enclosure. https://www.buzzfeednews.com/article/claudiakoerner/a-lion-has-been-shot-dead-after-it-killed-a-zoo-employee?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546232520000
45,Padma Lakshmi says she felt compelled to tell her own #MeToo story after Trump expressed doubt over Christine Blasey Ford's allegations against  Brett Kavanaugh. https://www.buzzfeednews.com/article/michaelblackmon/padma-lakshmi-profile?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546230780000
46,"Slavery is thriving in Libya, where thousands of black Africans hoping to get to Europe instead find themselves bought and sold, forced to work for nothing, and facing torture at the hands of their owners. https://www.buzzfeednews.com/article/monicamark/slavery-nigeria-libya?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546229040000
47,"An arrested Sureño gang member, who's accused of murdering a California police officer, had no encounters with the ICE prior to the alleged shooting, immigration authorities say https://www.buzzfeednews.com/article/talalansari/immigration-officials-no-encounter-undocument-immigrant?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546227180000
48,"""I love the fact that so many of us got out and voted"": @angelayee says women of color winning big in the elections in 2018 filled her with the most black pride this year ✊🏾🗳  Catch #HellaOpinions live Wednesdays at 9pm ET, right here on Twitter 🍹 pic.twitter.com/XiZNgwlImk",1546226100000
49,"From Salt, Fat, Acid, Heat to Queer Eye to To All the Boys I've Loved Before, there are plenty of viewing options to make you feel warm inside while the outside world is cold. https://www.buzzfeednews.com/article/alannabennett/netflix-comfort-shows-movies?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546225320000
50,"Organizers of a Women's March in California have canceled the event over concerns that it would be ""overwhelmingly white."" https://www.buzzfeednews.com/article/briannasacks/a-california-womens-march-overwhelmingly-white?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546223384000
51,2018 was one hell of a news year https://www.buzzfeednews.com/article/marisacarroll/these-stories-explain-2018-without-being-all-about-trump?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546221720000
52,A lot has happened with immigration policy in the US since Trump took office.   Here's a timeline to help you sort through it all https://www.buzzfeednews.com/article/adolfoflores/trump-immigration-policies-defeats-wins?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546219860000
53,One of the consistent themes of 2018 was the centrality of the legal system to nearly every major story that took over the news https://www.buzzfeednews.com/article/chrisgeidner/the-law-was-front-and-center-in-2018-because-trumps-actions?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546219020000
54,Padma Lakshmi says she felt compelled to tell her own #MeToo story after Trump expressed doubt over Christine Blasey Ford’s allegations against Supreme Court Justice Brett Kavanaugh   https://www.buzzfeednews.com/article/michaelblackmon/padma-lakshmi-profile?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546218254000
55,"Padma Lakshmi demystified fine dining for the home cook. Now she’s pushing to diversify “Top Chef,” speaking out about sexual assault and immigration, and showing young people how it’s done 🙌  Watch the full episode on PROFILE:   https://www.facebook.com/profilebuzzfeednews/videos/338866660270766/ …",1546218091000
56,"From progress between North and South Korea to the royal wedding, 2018 was chock-full of historic milestones. pic.twitter.com/M115EZ8YkS",1546218000000
57,"The internet has 👀celebrities like Future and Offset quite a bit this year. But who deserves the ""Men Are Trash"" award of the year? 🏆🗑  Catch #HellaOpinions live Wednesdays at 9pm ET, right here on Twitter 🍹 pic.twitter.com/yOVyrYLjBA",1546217942000
58,Entertainment reporters had tried — and failed — for years to break the Weinstein story.   Hollywood’s eventual #MeToo reckoning also proved to be a transformational moment for the news industry devoted to covering it. https://www.buzzfeednews.com/article/krystieyandoli/weinstein-entertainment-media-news?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546216260000
59,These devastating images show the effects of climate change this year 📸 https://www.buzzfeednews.com/article/laurageiser/2018-photos-climate-change-natural-disasters?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546214640000
60,Zines have long been a way for marginalized communities to record their stories and organize.   Zine libraries are making sure those histories aren't forgotten. https://www.buzzfeednews.com/article/rosieoknight/zines-libraries-marginalized-voices?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546213142000
61,"A college student was told to remove a ""Fuck Nazis"" sign from her dorm windows because it wasn't ""inclusive"" https://www.buzzfeednews.com/article/leticiamiranda/a-college-student-was-told-to-remove-a-fuck-nazis-sign?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546211700000
62,These are some of the most memorable pictures from 2018 https://www.buzzfeed.com/timlane/60-of-the-most-truly-memorable-pictures-from-2018?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546210200000
63,"""Vice"" director Adam McKay breaks down actor Jesse Plemons' shocking role https://www.buzzfeednews.com/article/marcusjones/vice-director-adam-mckay-breaks-down-actor-jesse-plemons?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546208700000
64,"Japan is resuming commercial whaling and withdrawing from the International Whaling Commission, drawing outrage from environmentalists https://www.buzzfeednews.com/article/davidmack/japan-commercial-whaling?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546208400000
65,Celebrities are being sued for posting paparazzi photos of themselves on social media https://www.buzzfeednews.com/article/claudiarosenbaum/celebrities-sued-paparazzi-photos-social-media?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546206900000
66,A woman facing deportation says she was denied justice because she speaks an indigenous language https://www.buzzfeednews.com/article/adolfoflores/woman-deportation-asylum-rape-language?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546206134000
67,A lion has been shot dead after it attacked and killed an employee cleaning its enclosure at a North Carolina zoo on Sunday https://www.buzzfeednews.com/article/claudiakoerner/a-lion-has-been-shot-dead-after-it-killed-a-zoo-employee?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546205400000
68,"In 2018, American tech companies finally acknowledged the mess they've created in India https://www.buzzfeednews.com/article/pranavdixit/2018-big-tech-india?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546203944000
69,Immigration officials say they had no previous encounters with the gang member arrested for allegedly killing a California police officer https://www.buzzfeednews.com/article/talalansari/immigration-officials-no-encounter-undocument-immigrant?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546201944000
70,Chinese police have raided mosques in a new crackdown on religion https://www.buzzfeednews.com/article/williamyang/chinese-police-have-raided-mosques-in-a-new-crackdown-on?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546201188000
71,Things weren’t all bad this year — take a look at some of the most heartwarming moments of 2018 ❤️ pic.twitter.com/8ig6mpoaQl,1546200000000
72,A wild giant panda was spotted outside a nature reserve in this Chinese region for the first time ever 🐼 pic.twitter.com/4Iz9kleq1p,1546198620000
