tweet,created_at,username
"Legendary screenwriter William Goldman has died at 87.  He won Oscars for ""Butch Cassidy and the Sundance Kid"" and ""All the President's Men,"" and also wrote the novel and film ""The Princess Bride."" https://www.buzzfeednews.com/article/louispeitzman/william-goldman-obituary?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1542386433000,Buzzfeed
A judge has ordered the White House to give Jim Acosta's press pass back to him. Here's the Trump administration's response to that ruling.   https://www.buzzfeednews.com/article/paulmcleod/jim-acosta-will-get-his-white-house-pass-back-following-a?bftwnews&utm_term=4ldqpgc#4ldqpgc … pic.twitter.com/qTY8Lswz7e,1542386749000,Buzzfeed
"“The Crimes Of Grindelwald” is having a major identity crisis, and not only because of Johnny Depp (Warning: Major spoilers ahead) https://www.buzzfeednews.com/article/alannabennett/harry-potter-crimes-of-grindelwald-johnny-depp?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1542387553000,Buzzfeed
"These students discovered a shrine to Danny DeVito in their school's bathroom, but it was shut down because nothing nice will survive 2018 https://www.buzzfeednews.com/article/stephaniemcneal/danny-devito-bathroom-shrine?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1542388650000,Buzzfeed
Theresa May has promoted a virtually unknown minister to be the Brexit secretary https://www.buzzfeed.com/hannahalothman/stephen-barclay-brexit-amber-rudd-dwp?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1542389037000,Buzzfeed
"As we head for the edge of a climate change cliff, neoliberal market capitalism is chewing up the biosphere and the lives of everyone in it. But it’s not too late to act. // Via @reader https://www.buzzfeednews.com/article/kimstanleyrobinson/climate-change-capitalism-kim-stanley-robinson?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1542389373000,Buzzfeed
Arya Stark has nothing on this guy's frighteningly realistic masks 😧 pic.twitter.com/LmKkokOZdr,1542389873000,Buzzfeed
French mother jailed for hiding baby in car boot https://bbc.in/2DIPhGz ,1542390929000,BBC
Your Body In Love 💗 pic.twitter.com/n26Xzxt6Tv,1542391280000,Buzzfeed
A conservative writer shared a creepshot of Congresswoman-elect Alexandria Ocasio-Cortez and was promptly ethered out of existence https://www.buzzfeednews.com/article/claudiakoerner/conservative-writer-tweet-ocasio-cortez?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1542392813000,Buzzfeed
Students say Dartmouth ignored professor 'predator club' https://bbc.in/2DLh1u0 ,1542393344000,BBC
"Europeans also are loath to give up on Saudi Arabia, a lucrative client that spends hundreds of millions each year on weapons. https://www.buzzfeednews.com/article/mitchprothero/weapons-sales-saudi-arabia-europe?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1542393425000,Buzzfeed
Elvis Presley to get US Presidential Medal of Freedom 🎶  http://bbc.in/2QMcoml  pic.twitter.com/UL8hXhtxEg,1542393805000,BBC
"Prep for college, learn a new language, stream TV: Here are 12 life-changing resources your librarian really wants you to use https://www.buzzfeednews.com/article/ariannarebolini/library-resources-services-will-change-your-life?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1542394849000,Buzzfeed
Jamal Khashoggi: Symbolic funeral services for murdered journalist https://bbc.in/2DHSF4q ,1542395385000,BBC
California wildfires: The day Paradise burned down https://bbc.in/2QOsKv1 ,1542396173000,BBC
"John Hinckley, the man who shot Ronald Reagan, is doing ""exquisitely"" while living with his mother, his lawyer says https://www.buzzfeednews.com/article/zoetillman/john-hinckley-shot-reagan-release-conditions-judge?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1542396434000,Buzzfeed
Zimbabwe bus: At least 42 killed in suspected gas explosion https://bbc.in/2DIxuiQ ,1542396607000,BBC
Trump has picked former coal lobbyist Andrew Wheeler to permanently lead the EPA.   Now he must be confirmed by the Senate. https://www.buzzfeednews.com/article/zahrahirji/andrew-wheeler-epa-chief?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1542397254000,Buzzfeed
California wildfires: Air quality rated 'world's worst' https://bbc.in/2QTh4qV ,1542397556000,BBC
This dog keeps getting caught on camera stealing clothes from a shopping mall 🐕📹 pic.twitter.com/2pFDDOZZ3f,1542397831000,Buzzfeed
Florida’s midterm election recounts have gotten a bit confusing. Here’s where things stand (and why the Republican candidate for Senate will probably win). https://www.buzzfeednews.com/article/brandonfinnigan/florida-election-results-recount-senate-scott-nelson?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1542397872000,Buzzfeed
"Here's how you can help those affected by the California wildfires, in which at least 66 people have died and more than 600 others are missing https://www.buzzfeednews.com/article/ellievhall/california-wildfires-disaster-relief-help-donate?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1542397953000,Buzzfeed
"This guy creates masks that are so realistic, it's scary 😧 pic.twitter.com/8GE2y6fj0t",1542398520000,Buzzfeed
"Bitcoin giveaway scams are flourishing on Twitter, and they're probably coming from Russia https://www.buzzfeednews.com/article/janelytvynenko/twitter-cryptocurrency-scams-verified-accounts-russia-target?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1542398685000,Buzzfeed
Navy SEALs and Marines charged in death of Special Forces soldier https://bbc.in/2QOly1V ,1542399498000,BBC
Governments and immigrant organizations are challenging Commerce Secretary Wilbur Ross's decision to include a question about citizenship in the census https://www.buzzfeednews.com/article/chrisgeidner/supreme-court-census-citizenship-question-evidence-arguments?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1542400026000,Buzzfeed
"We can still fight climate change — but only if we take on capitalism, Kim Stanley Robinson writes https://www.buzzfeednews.com/article/kimstanleyrobinson/climate-change-capitalism-kim-stanley-robinson?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1542400440000,Buzzfeed
